plant_order,plant_family,plant_subfamily,plant_genus,day,time,soil_moisture_percent,lux,temperature,humidity,was_watered
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,17:29:36,13.11,32.5,19,55,1
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,17:30:01,13.32,32.08,19,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,18:00:00,96.26,32.92,19,53,1
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,18:30:00,96.02,26.67,18,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,19:00:01,95.91,26.67,18,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,19:30:00,95.82,27.5,19,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,20:00:00,95.8,27.5,18,57,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,20:30:01,95.81,0,19,57,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,21:00:00,95.79,0,19,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,21:30:00,95.81,0,19,55,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,22:00:01,95.95,0,19,58,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,22:30:00,95.83,0,19,59,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,23:00:01,95.86,0,18,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,16/11/2023,23:30:03,95.85,0,18,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,00:00:01,95.81,0,18,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,00:30:00,95.85,0,18,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,01:00:00,95.88,0,18,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,01:30:01,95.96,0,18,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,02:00:00,95.99,0,18,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,02:30:00,96,0,18,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,03:00:01,96.08,0,18,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,03:30:00,96.06,0,18,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,04:00:00,96.09,0,18,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,04:30:01,96.17,0,18,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,05:00:00,96.2,0,18,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,05:30:00,96.18,0,18,52,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,06:00:01,96.26,0,18,52,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,06:30:00,96.27,0,18,52,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,07:00:00,96.32,0.42,18,52,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,07:30:01,96.4,37.5,18,52,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,08:00:00,96.37,112.5,18,52,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,08:30:01,96.43,167.5,18,55,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,09:00:00,96.36,214.17,18,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,09:30:00,96.36,250,18,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,10:00:01,96.34,330.83,18,52,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,10:30:00,96.27,948.33,18,52,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,11:00:00,96.14,1069.17,18,52,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,11:30:01,96.2,955,19,55,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,12:00:00,96.14,898.75,19,57,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,12:30:01,96.15,875.83,19,56,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,13:00:00,96.34,708.75,19,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,13:30:00,96.1,324.58,18,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,14:00:01,95.89,583.33,18,50,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,14:30:00,95.89,510,19,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,15:00:00,95.94,312.08,19,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,15:30:01,95.94,152.5,19,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,16:00:00,96.04,30.42,19,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,16:30:00,96,0.83,19,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,17:00:00,96.01,5,19,53,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,17:30:01,96.2,5,19,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,18:00:00,96.02,4.58,19,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,18:30:00,95.98,4.58,19,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,19:00:01,96.07,4.58,19,54,0
Alismatales,Araceae,Monsteroideae,Spathiphylleae,17/11/2023,19:30:00,96.06,14.58,19,54,0
